Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
net.sourceforge.atunes.ApplicationArguments,119,15,29,7,1,15,0.941964286,0.879166667,0,25,16
net.sourceforge.atunes.ApplicationArgumentsSender,20,1,10,4,0,9,0,0,0,3,0
net.sourceforge.atunes.ApplicationPropertiesLogger,44,5,24,6,0,19,0.75,0.6,0,7,2
net.sourceforge.atunes.ApplicationStarter,47,7,18,9,0,11,0.833333333,0.714285714,0,10,6
net.sourceforge.atunes.ApplicationStateGenerator,16,2,9,4,1,7,0,0,0,2,1
net.sourceforge.atunes.BasicUncaughtExceptionHandler,7,1,2,2,1,1,0,0,0,1,0
net.sourceforge.atunes.BeanFactory,63,6,11,7,1,6,0.2,0.166666667,0,21,2
net.sourceforge.atunes.BuildNumber,26,1,14,8,0,13,0,0,0,9,0
net.sourceforge.atunes.Constants,54,1,1,0,0,0,0,1,0,1,47
net.sourceforge.atunes.ContextInitializer,30,3,10,7,0,7,1,0.666666667,0,7,3
net.sourceforge.atunes.ErrorReport,127,14,46,9,1,32,0.857142857,0.795918367,0,26,7
net.sourceforge.atunes.ErrorReportCreator,26,2,16,5,1,14,0,0,0,4,1
net.sourceforge.atunes.ExceptionHandler,64,9,23,10,1,16,0.875,0.777777778,0,15,4
net.sourceforge.atunes.gui.AbstractColumnSetTableModel,34,7,15,7,2,8,0.666666667,0.571428571,4,7,1
net.sourceforge.atunes.gui.AbstractCommonColumnModel,171,28,60,19,1,32,0.955555556,0.921428571,4,56,10
net.sourceforge.atunes.gui.AbstractCommonTableModel,21,4,11,5,1,7,0,0,1,5,1
net.sourceforge.atunes.gui.AbstractTableCellRendererCode,11,2,3,2,1,1,0,0,17,2,1
net.sourceforge.atunes.gui.AbstractTreeCellDecorator,30,7,11,4,0,4,0.777777778,0.666666667,12,10,3
net.sourceforge.atunes.gui.AbstractTreeCellRendererCode,4,1,1,0,1,0,0,0,1,1,0
